Indonesia,271.7,18,7,1.2,-0,307.7,328.7,25,2.3,27,6,64,57,77,71,69,73,0.5,0.3,55,14,4.0,1033,11290
Laos,7.2,23,7,1.6,-2,8.6,9.4,52,2.8,32,4,54,49,72,66,64,68,0.3,0.2,36,0,4.7,466,7410
Malaysia,32.8,16,5,1.0,-4,38.0,41.1,7,1.8,23,7,52,34,-,75,72,77,0.7,0.1,76,27,4.2,3879,27200
Myanmar,54.7,18,8,1.0,-3,60.4,62.6,37,2.0,28,6,52,51,75,67,64,70,0.9,0.6,30,12,4.2,495,4860
Philippines,109.6,22,6,1.6,-1,135.4,158.7,21,2.7,30,5,54,40,57,71,67,76,0.3,<0.1,47,14,4.2,1960,9980
Singapore,5.8,9,5,0.4,5,6.3,6.3,1.7,1.1,15,14,—,—,—,83,81,85,0.4,<0.1,100,100,3.3,1030223,92150
Thailand,66.5,10,8,0.2,0,66.6,62.9,7,1.5,17,12,78,76,89,77,73,80,1.2,1.0,57,21,—,396,17650
Timor-Leste,1.3,30,6,2.4,-4,1.8,2.2,30,4.0,37,4,26,24,47,70,68,72,—,—,31,0,5.3,850,4520
Vietnam,96.2,16,6,1.0,-1,105.1,108.3,14,2.1,23,8,78,66,—,74,71,76,0.4,0.2,34,19,3.9,1377,7230
East Asia,1641,10,7,0.3,-0,1662,1585,9,1.5,16,14,81,77,—,78,76,80,—,—,64,33,—,1282,18578
China,1402.4,10,7,0.3,-0,1423.6,1366.1,9,1.5,17,13,85,81,—,77,75,79,—,—,61,29,—,1179,15320
China Hong Kong SARh,7.5,7,6,0.1,1,8.1,8.2,1.5,1.1,12,16,67,65,—,85,82,88,—,—,100,100,2.8,241742,65850
China Macao SARh,0.7,9,3,0.6,13,0.8,0.8,2,0.9,13,12,—,—,—,84,81,87,—,—,100,0,3.1,—,124120
Japan,126.0,7,11,-0.4,2,123.6,109.9,1.9,1.3,12,29,40,33,—,84,81,87,<0.1,<0.1,92,65,2.4,3027,43010
Korea North,25.8,14,9,0.5,-0,26.8,26.6,12,1.9,20,9,70,69,90,72,69,76,—,—,62,12,3.8,1097,—
Korea South,51.8,6,6,0.0,0,51.6,47.7,2.8,0.9,12,16,82,—,—,83,80,86,—,—,81,51,2.5,3707,39630
Mongolia,3.4,25,6,1.9,0,4.2,5.0,16,3.5,31,4,48,45,64,71,66,76,<0.1,<0.1,68,49,3.0,593,11050
Taiwan,23.6,8,7,0.0,-0,23.1,20.7,4.2,1.0,13,16,75,—,—,80,77,84,—,—,79,51,2.7,4015,—
EUROPE,747,10,11,-0.1,2,744,729,4,1.5,16,19,71,63,—,79,75,82,—,—,75,19,2.4,272,38709
European Union,447,9,10,-0.1,3,448,440,3,1.5,15,21,72,66,—,81,78,84,—,—,75,17,2.3,449,44418
Northern Europe,106,11,9,0.2,4,112,115,3,1.6,18,19,83,82,—,81,79,83,—,—,82,23,2.2,567,49468
Channel Islands,0.2,9,8,0.1,9,0.2,0.2,6.2,1.3,15,17,—,—,—,83,81,85,—,—,31,0,—,4495,—
Denmark,5.8,11,9,0.1,2,6.2,6.4,3.1,1.7,16,20,—,—,—,81,79,83,0.2,<0.1,88,23,2.1,246,57980
Estonia,1.3,11,12,-0.1,4,1.3,1.3,1.8,1.7,16,20,63,58,—,78,74,82,1.1,0.6,69,0,2.1,195,35340
Finland,5.5,8,10,-0.2,3,5.6,5.4,2.1,1.4,16,22,85,82,—,82,79,84,0.2,<0.1,70,23,2.1,247,49720
Iceland,0.4,12,6,0.5,14,0.4,0.4,1.7,1.7,19,14,—,—,—,83,81,84,0.2,<0.1,94,0,2.6,304,55920
Ireland,5.0,12,6,0.6,7,5.5,6.0,3.1,1.8,20,14,73,71,—,81,78,83,0.3,0.1,63,25,2.6,1135,68060
Latvia,1.9,10,14,-0.5,-1,1.7,1.5,3.2,1.6,16,20,—,—,—,75,70,80,0.6,0.3,69,0,2.2,147,30220
Lithuania,2.8,10,14,-0.4,4,2.5,2.1,3.2,1.6,15,20,63,50,—,76,71,81,—,—,67,0,2.1,133,34680
Norway,5.4,10,8,0.3,4,5.9,6.3,2.1,1.5,17,18,88g,82g,—,83,81,85,0.2,<0.1,82,19,2.2,672,70530
Sweden,10.4,11,9,0.3,7,11.3,11.9,1.8,1.8,18,20,—,—,—,83,81,85,—,—,88,16,1.9,405,54640
United Kingdom,67.2,11,9,0.2,3,70.9,73.6,3.7,1.6,18,19,84,84,—,81,79,83,—,—,84,27,2.3,1104,46240
